127.0.0.1 - - [22/Sep/2023:14:57:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:04:07 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:04:37 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:05:15 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:05:15 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:05:16 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:05:16 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:14:52 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:15:09 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:17:08 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:18:28 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:20:04 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:20:48 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:10 +0530] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:10 +0530] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:20 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:21 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:21 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:21 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:29 +0530] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:29 +0530] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:21:47 +0530] "POST /medicare/login?logout HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:22:07 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:34 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:35 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:35 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:36 +0530] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:37 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:37 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:37 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:23:38 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:29:07 +0530] "POST /medicare/login HTTP/1.1" 403 8089
0:0:0:0:0:0:0:1 - - [22/Sep/2023:15:31:56 +0530] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 304 -
